id,publication_year,cited_by_count,author_ids
https://openalex.org/W2947528994,2019.0,31,"[""https://openalex.org/A5000039263"", ""https://openalex.org/A5103154659""]"
https://openalex.org/W2559613087,2016.0,25,"[""https://openalex.org/A5000039263"", ""https://openalex.org/A5103154659""]"
https://openalex.org/W1927152987,2015.0,20,"[""https://openalex.org/A5000110965"", ""https://openalex.org/A5035916726""]"
https://openalex.org/W3179781124,2021.0,12,"[""https://openalex.org/A5000072934"", ""https://openalex.org/A5089401391""]"
https://openalex.org/W3200127349,2021.0,12,"[""https://openalex.org/A5000213324"", ""https://openalex.org/A5021465030""]"
https://openalex.org/W2041902786,2010.0,52,"[""https://openalex.org/A5000149246"", ""https://openalex.org/A5072834548""]"
https://openalex.org/W2080063249,2008.0,45,"[""https://openalex.org/A5032926589"", ""https://openalex.org/A5000245456""]"
https://openalex.org/W2355215341,2016.0,18,"[""https://openalex.org/A5000039263"", ""https://openalex.org/A5103154659""]"
https://openalex.org/W3091770010,2020.0,16,"[""https://openalex.org/A5071349842"", ""https://openalex.org/A5073970795"", ""https://openalex.org/A5089041260"", ""https://openalex.org/A5000146150"", ""https://openalex.org/A5026111773""]"
https://openalex.org/W2131137743,2015.0,14,"[""https://openalex.org/A5000200187"", ""https://openalex.org/A5100413697""]"
https://openalex.org/W2914609207,2018.0,14,"[""https://openalex.org/A5000039263"", ""https://openalex.org/A5103154659""]"
https://openalex.org/W1578473173,2012.0,158,"[""https://openalex.org/A5073875709"", ""https://openalex.org/A5110933986"", ""https://openalex.org/A5032926589"", ""https://openalex.org/A5000245456""]"
https://openalex.org/W1834778655,2014.0,111,"[""https://openalex.org/A5078253058"", ""https://openalex.org/A5032926589"", ""https://openalex.org/A5000245456"", ""https://openalex.org/A5073875709""]"
https://openalex.org/W1877037013,2015.0,43,"[""https://openalex.org/A5000096589"", ""https://openalex.org/A5103852640""]"
https://openalex.org/W4376312534,2023.0,16,"[""https://openalex.org/A5000245456"", ""https://openalex.org/A5066042916"", ""https://openalex.org/A5032926589"", ""https://openalex.org/A5057196170""]"
https://openalex.org/W3125349408,1977.0,7416,"[""https://openalex.org/A5109978106"", ""https://openalex.org/A5000415140""]"
https://openalex.org/W2162833336,2010.0,1855,"[""https://openalex.org/A5000403961"", ""https://openalex.org/A5101609697""]"
https://openalex.org/W2171838050,2001.0,1807,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5036233252""]"
https://openalex.org/W2093947075,2015.0,712,"[""https://openalex.org/A5000497674"", ""https://openalex.org/A5043312930""]"
https://openalex.org/W2896109619,2018.0,703,"[""https://openalex.org/A5101841217"", ""https://openalex.org/A5005635678"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5084102683"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W2144157951,1982.0,686,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5002658921""]"
https://openalex.org/W2007383086,1983.0,526,"[""https://openalex.org/A5000415140"", ""https://openalex.org/A5109978106""]"
https://openalex.org/W2467144198,2016.0,473,"[""https://openalex.org/A5090631705"", ""https://openalex.org/A5101841217"", ""https://openalex.org/A5005635678"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5084102683""]"
https://openalex.org/W1701749658,1994.0,416,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5036233252""]"
https://openalex.org/W2005867782,1988.0,414,"[""https://openalex.org/A5109978106"", ""https://openalex.org/A5000415140""]"
https://openalex.org/W1507347479,2002.0,389,"[""https://openalex.org/A5103551927"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W1997681484,1995.0,389,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5078574152""]"
https://openalex.org/W2162973130,2004.0,388,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5109737158""]"
https://openalex.org/W2901291391,2018.0,363,"[""https://openalex.org/A5101841217"", ""https://openalex.org/A5000465145"", ""https://openalex.org/A5054459766"", ""https://openalex.org/A5005635678"", ""https://openalex.org/A5084102683"", ""https://openalex.org/A5090631705""]"
https://openalex.org/W4255674637,1995.0,356,"[""https://openalex.org/A5000424744"", ""https://openalex.org/A5078574152""]"
https://openalex.org/W2135964285,2009.0,355,"[""https://openalex.org/A5031269302"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W2033226861,2012.0,353,"[""https://openalex.org/A5053589098"", ""https://openalex.org/A5034259217"", ""https://openalex.org/A5000424744""]"
https://openalex.org/W4247200773,1987.0,268,"[""https://openalex.org/A5109978106"", ""https://openalex.org/A5000415140""]"
